,,Revenues,Gross Profit,Gaap Gross Margin,Gaap Net Income,Gaap Eps,Cash,Cash Change,Shares Basic,Employees
,,,,,,,,,,
Q1 2024,,,,,,,,,,
,,,,,,,,,,
Q4 2023,8/25/2023,491.1,203.3,41.4,103.7,1.72,114.826,-37.694,60.446,1535
,,,,,,,,,,
Q3 2023,5/5/2023,457.8,188.5,41.2,98.6,1.63,"152,520",-6985,60.455,
,,,,,,,,,,
Q2 2023,2/3/2023,493.6,197.6,40,112.2,1.86,"159,505","22,986",60.441,
,,,,,,,,,,
Q1 2023,11/4/2022,498.1,171.4,34.4,93.2,1.54,"136,519",295,60.428,
,,,,,,,,,,
Q4 2022,8/26/2022,443.1,169.6,38.3,92.5,1.53,"136,224","-8,088",60.426,1377
,,,,,,,,,,
Q3 2022,5/6/2022,358.1,116,32.4,50.4,0.82,144.312,-105.106,60.418,
,,,,,,,,,,
Q2 2022,2/4/2022,431.6,174.7,40.5,103.6,1.66,212.179,-37.239,61.534,
,,,,,,,,,,
Q1 2022,11/5/2021,458.9,209.5,45.6,132.2,2.11,265.93,16.512,62.461,
,,,,,,,,,,
Q4 2021,8/27/2021,477.9,230.7,48.3,154.3,2.46,249.418,,62.761,1223
,,,,,,,,,,
Q3 2021,5/7/2021,467.2,222.7,47.7,146.1,2.32,262.8,,62.814,
,,,,,,,,,,
Q2 2021,2/5/2021,479.4,230.7,48.1,159.7,2.54,189.1,,62.809,
,,,,,,,,,,
Q1 2021,11/6/2020,473.5,228.1,48.2,156.5,2.46,128.4,,63.612,
,,,,,,,,,,
Q4 2020,8/21/2020,315.5,152.1,,92.6,1.45,142.617,,63.689,1021
,,,,,,,,,,
Q3 2020,5/8/2020,337.4,159.6,,103.7,1.6,77.78,,63.684,
,,,,,,,,,,
Q2 2020,2/7/2020,308.3,145.1,,85.8,1.32,100.1,,64.893,
,,,,,,,,,,
Q1 2020,11/8/2019,323.3,151.4,,98.1,1.43,119.7,,68.484,
,,,,,,,,,,
Q4 2019,8/9/2019,286.6,132.9,,70.9,1.01,238.1,,70.2,955
,,,,,,,,,,
Q3 2019,5/10/2019,284.9,132.8,,88.3,1.25,310,,70.6,
,,,,,,,,,,
Q2 2019,2/8/2019,307.3,140.2,,77.8,1.09,293,,70.84,
,,,,,,,,,,
Q1 2019,11/9/2018,282.9,131.6,,85.7,1.16,625,,73.96,
,,,,,,,,,,
Q4 2018,8/24/2018,269.8,120.5,,70.1,0.94,666,,,843
,,,,,,,,,,
Q3 2018,5/10/2018,250.4,114.5,,76,1.32,690,,76.78,806
,,,,,,,,,,
Q2 2018,2/8/2018,250.8,96.9,,59.6,,823,,78.7,780
,,,,,,,,,,
Q1 2018,11/9/2017,245.9,111.7,,74.9,,631.8,,81.1,741
,,,,,,,,,,
Q4 2017,8/3/2017,228.6,103.2,,60.7,,604.2,,81.3,725
,,,,,,,,,,
Q3 2017,5/4/2017,218.4,99.1,,64.6,,533.9,,81.7,656
,,,,,,,,,,
Q2 2017,2/9/2017,213.5,95.1,,60.6,,612.7,,83.8,620
,,,,,,,,,,
Q1 2017,11/3/2016,204.8,98.3,,71.8,,573.6,,83.8,564
,,,,,,,,,,
Q4 2016,8/4/2016,185.7,89.8,,57.5,,551,,83.8,537
,,,,,,,,,,
Q3 2016,5/5/2016,167.4,82.5,,52.7,,502.5,,84.6,503
,,,,,,,,,,
Q2 2016,2/4/2016,161.9,79,,49.5,,496.7,,86,470
,,,,,,,,,,
Q1 2016,11/5/2015,151.4,73.5,,53.8,,436.1,,88.4,452
